Rank,RankO,Master_col,Name,Ranking_Agency,Year,Region,No. of FTE Students,No. of students per staff,International Students,Female_Ratio,Male_Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook
1001,1001+,Western Michigan University,Western Michigan University,Times,2021,United States,"19,273",21.8,7%,52%,48%,10.3–25.0,20.2,15.4,25.8,33.6,34.6
2,2,California Institute of Technology,California Institute of Technology,Times,2020,United States,"2,240",6.4,30%,34%,66%,94.5,92.1,97.2,97.9,88,82.5
4,4,Stanford University,Stanford University,Times,2020,United States,"16,135",7.3,23%,43%,57%,94.3,92.8,96.4,99.9,66.2,79.5
5,5,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Times,2020,United States,"11,247",8.6,34%,39%,61%,93.6,90.5,92.4,99.5,86.9,89
6,6,Princeton University,Princeton University,Times,2020,United States,"7,983",8.1,25%,45%,55%,93.2,90.3,96.3,98.8,58.6,81.1
7,7,Harvard University,Harvard University,Times,2020,United States,"20,823",9.2,24%,49%,51%,93,89.2,98.6,99.1,47.3,76.3
8,8,Yale University,Yale University,Times,2020,United States,"12,402",5.4,20%,50%,50%,91.7,92,94.8,97.3,52.4,68.7
9,9,The University of Chicago,The University of Chicago,Times,2020,United States,"13,833",5.7,28%,46%,54%,90.2,89.1,91.4,96.7,52.7,76
11,11,University of Pennsylvania,University of Pennsylvania,Times,2020,United States,"20,578",6.5,21%,52%,48%,89.6,87.5,90.4,98.2,74,65
12,12,Johns Hopkins University,Johns Hopkins University,Times,2020,United States,"16,171",4.5,26%,52%,48%,89.2,81.7,91.4,98.3,91.3,73.2
13,13,"University of California, Berkeley","University of California, Berkeley",Times,2020,United States,"41,081",13.7,17%,50%,50%,88.3,83,90.6,99.2,46.1,70.4
16,16,Columbia University,Columbia University,Times,2020,United States,"26,586",5.8,37%,NA,NA,87,85.6,82.6,98.2,44.8,79.3
17,17,"University of California, Los Angeles","University of California, Los Angeles",Times,2020,United States,"41,066",9.4,17%,54%,46%,86.8,83.1,88.6,97.3,51.3,64.1
19,19,Cornell University,Cornell University,Times,2020,United States,"22,319",9.8,25%,49%,51%,85.1,79.7,86,96.6,37.1,73.4
20,20,Duke University,Duke University,Times,2020,United States,"15,309",4.3,19%,49%,51%,84,82.4,76.8,97,99.9,61.5
21,21,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,Times,2020,United States,"42,982",8.3,17%,49%,51%,83.8,79.4,86.1,94.9,47.7,59.2
22,22,Northwestern University,Northwestern University,Times,2020,United States,"17,951",12.8,20%,49%,51%,83.5,74.2,83.8,97.8,78.4,64.1
26,26,University of Washington,University of Washington,Times,2020,United States,"45,692",11.1,16%,53%,47%,81.6,72.2,82.2,98.6,47.5,60.4
27,27,Carnegie Mellon University,Carnegie Mellon University,Times,2020,United States,"13,430",13.6,48%,41%,59%,81.3,65.9,82.7,98.2,50.5,80.6
29,29,New York University,New York University,Times,2020,United States,"44,466",8.9,33%,57%,43%,81.1,76.8,77.5,96.5,38.7,65.4
31,31,"University of California, San Diego","University of California, San Diego",Times,2020,United States,"33,579",13,23%,46%,54%,78.8,62.6,78.9,97.7,90.3,63.7
38,38,Georgia Institute of Technology,Georgia Institute of Technology,Times,2020,United States,"21,372",18.3,27%,33%,67%,75.4,60.2,76.4,90.4,61.6,77.1
38,38,University of Texas at Austin,University of Texas at Austin,Times,2020,United States,"49,165",17.2,10%,52%,48%,75.4,68.2,76.2,93.2,46.6,39.1
48,48,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Times,2020,United States,"44,916",17.9,24%,47%,53%,72.9,63.2,78,84.4,47.9,54.3
51,51,University of Wisconsin-Madison,University of Wisconsin-Madison,Times,2020,United States,"39,154",10,13%,NA,NA,72,68.8,70.3,85.3,46.3,47.4
52,52,Washington University in St Louis,Washington University in St Louis,Times,2020,United States,"13,401",7.5,20%,NA,NA,71.5,64.2,57.5,98.8,40.7,57.1
53,53,Brown University,Brown University,Times,2020,United States,"9,391",10.8,20%,n/a%,%,70,64,56.1,94.9,36.5,61.4
54,54,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,Times,2020,United States,"35,419",9.4,8%,57%,43%,69.9,59.7,63.2,96.9,43.9,38
55,55,"University of California, Davis","University of California, Davis",Times,2020,United States,"39,164",12,14%,58%,42%,69.7,62.4,66.9,83.2,51.4,62.4
57,57,"University of California, Santa Barbara","University of California, Santa Barbara",Times,2020,United States,"24,089",27.6,16%,52%,48%,69.6,47.9,63.6,96.4,84.5,68.1
61,61,Boston University,Boston University,Times,2020,United States,"25,662",11.6,27%,60%,40%,68.5,57.3,55.6,95.7,41.4,64.4
62,62,University of Southern California,University of Southern California,Times,2020,United States,"36,929",11.7,25%,53%,47%,68.1,54.7,59.3,93.1,39.7,66.2
70,70,Ohio State University (Main campus),Ohio State University (Main campus),Times,2020,United States,"54,372",12.5,13%,50%,50%,66.1,57.5,56.1,87.3,53.3,59.5
78,78,Penn State (Main campus),Penn State (Main campus),Times,2020,United States,"46,204",15.3,16%,46%,54%,64.2,55.2,67.1,75.7,52.1,47.4
79,79,University of Minnesota,University of Minnesota,Times,2020,United States,"61,120",12.4,11%,52%,48%,64.1,55.2,59.3,82.7,78.2,40.2
80,80,Emory University,Emory University,Times,2020,United States,"12,735",4,20%,58%,42%,64,56,40.4,98.8,45.4,57.9
84,84,Michigan State University,Michigan State University,Times,2020,United States,"44,789",16.5,16%,51%,49%,63.9,56.6,57.4,80,37.8,63.3
88,88,Purdue University West Lafayette,Purdue University West Lafayette,Times,2020,United States,"40,451",15.7,23%,43%,57%,63.1,57.5,66.4,63,64.3,72
91,91,"University of Maryland, College Park","University of Maryland, College Park",Times,2020,United States,"33,108",16.6,11%,48%,52%,62.7,46.9,59.1,89.6,39.2,41.2
94,94,Dartmouth College,Dartmouth College,Times,2020,United States,"6,247",7.7,15%,49%,51%,62.4,58.4,39.9,96.4,41,39.6
96,96,"University of California, Irvine","University of California, Irvine",Times,2020,United States,"32,706",16.5,26%,52%,48%,62.3,43.3,46.5,94.9,58.9,71.9
102,102,Georgetown University,Georgetown University,Times,2020,United States,"16,279",8.5,18%,54%,46%,61.9,57.3,37.9,93.9,62.5,47.2
104,104,University of Arizona,University of Arizona,Times,2020,United States,"39,124",18.4,10%,52%,48%,61.8,52.6,53.7,85.3,52.7,40.2
105,105,Rice University,Rice University,Times,2020,United States,"6,667",8.9,28%,42%,58%,61.6,49.1,39.7,93.7,45.4,77
107,107,University of Virginia (Main campus),University of Virginia (Main campus),Times,2020,United States,"23,116",8.6,12%,52%,48%,61.5,54.4,43.5,91.3,41.6,48.9
113,113,University of Pittsburgh-Pittsburgh campus,University of Pittsburgh-Pittsburgh campus,Times,2020,United States,"26,652",5.8,11%,51%,49%,60.4,47.4,45.5,95.1,40.7,39.3
116,116,Vanderbilt University,Vanderbilt University,Times,2020,United States,"12,006",3,14%,54%,46%,60.2,48.7,42.1,95.4,47.5,43
119,119,Case Western Reserve University,Case Western Reserve University,Times,2020,United States,"10,654",8.8,23%,50%,50%,60,48.4,39.9,95.3,42.1,52.2
124,124,University of Colorado Boulder,University of Colorado Boulder,Times,2020,United States,"33,186",16.3,11%,44%,56%,59.6,44.8,45.6,93.1,41.7,47.3
134,134,Indiana University,Indiana University,Times,2020,United States,"66,872",13.6,15%,52%,48%,58.4,50.8,49.7,76.7,49.8,53.5
139,139,Tufts University,Tufts University,Times,2020,United States,"11,017",9.8,16%,55%,45%,58,49.1,34.2,94.4,38.6,49.6
155,155,Arizona State University (Tempe),Arizona State University (Tempe),Times,2020,United States,"46,683",21.1,21%,43%,57%,57.1,39.3,50.7,81.6,38.5,61.8
157,157,University of Notre Dame,University of Notre Dame,Times,2020,United States,"12,104",13.7,12%,45%,55%,56.9,52.9,46.2,73.5,38.1,55.3
168,168,Rutgers University - New Brunswick,Rutgers University – New Brunswick,Times,2020,United States,"44,801",11.2,17%,52%,48%,56,47.8,48.5,73.9,41.1,51.5
172,172,University of Alabama at Birmingham,University of Alabama at Birmingham,Times,2020,United States,"16,927",16.7,6%,62%,38%,55.7,39.2,33.6,97.3,74.8,37.4
173,173,"Northeastern University, US","Northeastern University, US",Times,2020,United States,"19,575",13.9,35%,49%,51%,55.6,38,27.9,97.5,38,75
173,173,University of Rochester,University of Rochester,Times,2020,United States,"9,824",4.2,31%,49%,51%,55.6,43.4,30.3,91.4,40.9,67.2
175,175,University of Florida,University of Florida,Times,2020,United States,"46,642",16.8,10%,55%,45%,55.4,54,53.8,61.9,57.9,40
178,178,Texas A&M University,Texas A&M University,Times,2020,United States,"60,818",24.8,8%,47%,53%,55.3,49.3,54.8,62.8,45.3,54.3
179,179,"University of California, Santa Cruz","University of California, Santa Cruz",Times,2020,United States,"18,783",23,10%,50%,50%,55.2,33.1,34.9,97.7,39.1,60.6
198,198,George Washington University,George Washington University,Times,2020,United States,"23,488",13.1,18%,60%,40%,53.8,48.6,32.4,81.5,35,55.5
201,201–250,Brandeis University,Brandeis University,Times,2020,United States,"5,375",12.2,27%,57%,43%,50.1–53.7,28.5,22.9,100,35.6,53.4
201,201–250,University of Hawai’i at M?noa,University of Hawai’i at M?noa,Times,2020,United States,"15,054",10.8,10%,57%,43%,50.1–53.7,36.3,38.9,73.8,51.5,65.5
201,201–250,Howard University,Howard University,Times,2020,United States,"8,449",7.5,8%,65%,35%,50.1–53.7,42.8,15.3,99,34.4,34
201,201–250,University of Iowa,University of Iowa,Times,2020,United States,"28,945",11.6,12%,52%,48%,50.1–53.7,43.1,29.5,82.3,54,46.5
201,201–250,University of Massachusetts,University of Massachusetts,Times,2020,United States,"61,204",13,15%,48%,52%,50.1–53.7,38.5,31.1,87,49.9,61.7
201,201–250,University of Miami,University of Miami,Times,2020,United States,"15,971",6.3,16%,52%,48%,50.1–53.7,44,25.2,83.2,41.3,59.1
201,201–250,University of South Florida (Tampa),University of South Florida (Tampa),Times,2020,United States,"33,885",18.9,14%,NA,NA,50.1–53.7,30.5,34.2,87.3,89,54.7
201,201–250,University of Utah,University of Utah,Times,2020,United States,"30,365",14.2,8%,47%,53%,50.1–53.7,39,34.7,86.4,48.3,33
201,201–250,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Times,2020,United States,"32,838",18.3,14%,43%,57%,50.1–53.7,37.5,42.3,70.9,47.5,54
201,201–250,Wake Forest University,Wake Forest University,Times,2020,United States,"7,675",4,9%,53%,47%,50.1–53.7,42.8,18.8,94.1,43.6,31.2
201,201–250,William & Mary,William & Mary,Times,2020,United States,"8,235",11.4,9%,55%,45%,50.1–53.7,47.5,21.1,87.4,35.3,37.3
251,251–300,University at Buffalo,University at Buffalo,Times,2020,United States,"25,849",17.4,17%,44%,56%,46.9–50.0,37.2,32.7,73.8,42.1,64.7
251,251–300,"University of California, Riverside","University of California, Riverside",Times,2020,United States,"22,272",18,14%,53%,47%,46.9–50.0,31.2,30.3,85.9,39.4,64.7
251,251–300,University of Cincinnati – Uptown,University of Cincinnati – Uptown,Times,2020,United States,"28,434",20.4,9%,51%,49%,46.9–50.0,35.5,30.8,83.9,39.4,40.9
251,251–300,University of Delaware,University of Delaware,Times,2020,United States,"20,566",17,10%,57%,43%,46.9–50.0,28.5,38.2,71.5,90.6,47.2
251,251–300,Florida State University,Florida State University,Times,2020,United States,"38,520",24.1,7%,56%,44%,46.9–50.0,38,40.1,69.2,39.4,43.5
251,251–300,George Mason University,George Mason University,Times,2020,United States,"29,377",18,10%,54%,46%,46.9–50.0,29.9,26.3,89.5,35.8,46.2
251,251–300,University of Illinois Chicago,University of Illinois Chicago,Times,2020,United States,"27,031",11.5,20%,52%,48%,46.9–50.0,45,33.4,69.7,43.2,54.9
251,251–300,University of Oregon,University of Oregon,Times,2020,United States,"22,143",10.8,12%,54%,46%,46.9–50.0,34,29.3,83.7,34.7,37
251,251–300,Oregon Health and Science University,Oregon Health and Science University,Times,2020,United States,"2,895",1,3%,66%,34%,46.9–50.0,35.7,16.7,99.7,47.6,26.6
251,251–300,Syracuse University,Syracuse University,Times,2020,United States,"20,236",15.7,20%,53%,47%,46.9–50.0,35.1,29.6,78.1,35.3,48.7
301,301–350,Boston College,Boston College,Times,2020,United States,"12,904",15.7,11%,55%,45%,44.5–46.8,36.7,33.7,69.2,34.4,42.3
301,301–350,Colorado School of Mines,Colorado School of Mines,Times,2020,United States,"5,768",16.7,11%,29%,71%,44.5–46.8,30.1,25.1,79.6,46.6,42.1
301,301–350,University of New Mexico (Main campus),University of New Mexico (Main campus),Times,2020,United States,"19,382",17.1,5%,55%,45%,44.5–46.8,29.2,31.8,83.6,37.4,33.2
301,301–350,North Carolina State University,North Carolina State University,Times,2020,United States,"30,231",12.5,15%,45%,55%,44.5–46.8,36.7,35.3,64.7,43.2,57.8
301,301–350,Nova Southeastern University,Nova Southeastern University,Times,2020,United States,"17,785",23.4,6%,69%,31%,44.5–46.8,33.8,10.3,99.5,34.4,29.5
301,301–350,Rush University,Rush University,Times,2020,United States,"2,425",2,1%,74%,26%,44.5–46.8,37.2,12.9,92.1,41.3,19.7
301,301–350,Stony Brook University,Stony Brook University,Times,2020,United States,"24,201",10.5,23%,50%,50%,44.5–46.8,34.4,23.5,77,36.1,71.5
301,301–350,Temple University,Temple University,Times,2020,United States,"35,814",13,9%,53%,47%,44.5–46.8,39.3,23.5,79.3,34.4,37.7
301,301–350,The University of Tennessee-Knoxville,The University of Tennessee-Knoxville,Times,2020,United States,"25,907",16.8,5%,NA,NA,44.5–46.8,32.9,23.4,80.3,43.9,45.7
301,301–350,University of Texas at Dallas,University of Texas at Dallas,Times,2020,United States,"22,757",21.6,25%,43%,57%,44.5–46.8,23.7,29.3,82.1,39.9,60.2
301,301–350,Tulane University,Tulane University,Times,2020,United States,"11,185",9.8,11%,57%,43%,44.5–46.8,42.3,24.1,72.7,37,41.9
351,351–400,University of Alaska Fairbanks,University of Alaska Fairbanks,Times,2020,United States,"3,593",8.7,5%,51%,49%,42.4–44.4,27.5,25,72.5,43.8,53.9
351,351–400,"University of California, Merced","University of California, Merced",Times,2020,United States,"7,324",20.9,8%,51%,49%,42.4–44.4,17.1,21.6,95.3,38,42.4
351,351–400,Clark University,Clark University,Times,2020,United States,"3,045",11.5,23%,60%,40%,42.4–44.4,24,22.7,79.3,34.4,57.5
351,351–400,University of Connecticut,University of Connecticut,Times,2020,United States,"32,446",15.2,9%,53%,47%,42.4–44.4,36.5,29.7,60.6,37.9,49
351,351–400,University of Denver,University of Denver,Times,2020,United States,"9,535",13,9%,57%,43%,42.4–44.4,40.5,22.3,75.4,35.8,27.8
351,351–400,Hofstra University,Hofstra University,Times,2020,United States,"10,066",13.9,9%,57%,43%,42.4–44.4,38.4,13.2,79.3,34.4,29.8
351,351–400,Iowa State University,Iowa State University,Times,2020,United States,"32,469",18.8,12%,44%,56%,42.4–44.4,29.5,33,60.5,49.6,56.7
351,351–400,Oregon State University,Oregon State University,Times,2020,United States,"24,798",16,11%,46%,54%,42.4–44.4,30.9,30.1,67.2,37.7,52.9
351,351–400,SUNY University at Albany,SUNY University at Albany,Times,2020,United States,"15,947",16.6,10%,52%,48%,42.4–44.4,24,35.4,72.8,40.1,49.6
351,351–400,Washington State University,Washington State University,Times,2020,United States,"27,957",18.1,7%,52%,48%,42.4–44.4,30.7,28.6,71.8,48.4,49.3
351,351–400,Wayne State University,Wayne State University,Times,2020,United States,"22,295",11.3,9%,55%,45%,42.4–44.4,33.3,18.1,83.3,45.4,37.6
401,401–500,The University of Alabama,The University of Alabama,Times,2020,United States,"35,120",22.5,4%,56%,44%,38.8–42.3,26.9,22.4,77.4,35.3,28.9
401,401–500,American University,American University,Times,2020,United States,"11,750",11,12%,65%,35%,38.8–42.3,40.9,19.5,65.7,39.1,32.3
401,401–500,"Colorado State University, Fort Collins","Colorado State University, Fort Collins",Times,2020,United States,"26,014",16.3,6%,53%,47%,38.8–42.3,27.8,25.3,64.1,38.4,38.4
401,401–500,Drexel University,Drexel University,Times,2020,United States,"19,801",11.1,17%,50%,50%,38.8–42.3,35.8,20.4,64.7,41.5,50.3
401,401–500,University of Georgia,University of Georgia,Times,2020,United States,"35,164",16.3,7%,57%,43%,38.8–42.3,34.9,35.8,55.8,37.2,46
401,401–500,Georgia State University,Georgia State University,Times,2020,United States,"29,290",14.4,6%,61%,39%,38.8–42.3,33.9,27.2,62.9,35.4,41.9
401,401–500,University of Houston,University of Houston,Times,2020,United States,"44,128",25.7,9%,50%,50%,38.8–42.3,33.6,25.9,58,36.8,42.5
401,401–500,University of Kansas,University of Kansas,Times,2020,United States,"24,526",9.9,9%,52%,48%,38.8–42.3,36.9,22.6,68.3,43.5,35.4
401,401–500,University of Kentucky,University of Kentucky,Times,2020,United States,"27,078",12.4,4%,55%,45%,38.8–42.3,37,24.9,55.5,38.4,38
401,401–500,University of Missouri-St Louis,University of Missouri-St Louis,Times,2020,United States,"7,019",16,6%,58%,42%,38.8–42.3,30,24.7,70.3,40.4,40.6
401,401–500,Mizzou - University of Missouri,Mizzou - University of Missouri,Times,2020,United States,"28,513",13.3,6%,53%,47%,38.8–42.3,34.9,24.2,65.7,35.5,39.9
401,401–500,University of Nebraska-Lincoln,University of Nebraska-Lincoln,Times,2020,United States,"24,610",17.2,11%,48%,52%,38.8–42.3,30.1,28,63.2,38.6,56.7
401,401–500,New Mexico Institute of Mining and Technology,New Mexico Institute of Mining and Technology,Times,2020,United States,"1,809",11.3,8%,30%,70%,38.8–42.3,22.3,14.6,70.6,78.1,62.9
401,401–500,Oklahoma State University,Oklahoma State University,Times,2020,United States,"21,494",15.8,7%,50%,50%,38.8–42.3,24.1,21.5,71.1,36.9,44.3
401,401–500,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Times,2020,United States,"7,798",15.6,20%,32%,68%,38.8–42.3,30,28.7,58.9,67,52.1
401,401–500,University of South Carolina-Columbia,University of South Carolina-Columbia,Times,2020,United States,"32,291",16.2,5%,55%,45%,38.8–42.3,33.2,25.5,63.7,36.2,43.2
401,401–500,The University of Texas at San Antonio,The University of Texas at San Antonio,Times,2020,United States,"24,435",24.5,4%,51%,49%,38.8–42.3,18.1,21.1,78,36.2,36.4
401,401–500,The University of Tulsa,The University of Tulsa,Times,2020,United States,"5,067",12.4,16%,45%,55%,38.8–42.3,33.5,16.2,68.9,50.5,39.6
501,501–600,University of Alabama in Huntsville,University of Alabama in Huntsville,Times,2020,United States,"6,729",16.3,8%,43%,57%,35.3–38.7,22.2,22.4,58.1,68.4,44.9
501,501–600,Florida International University,Florida International University,Times,2020,United States,"34,203",23.8,8%,57%,43%,35.3–38.7,30.4,22.6,62.3,38,39.7
501,501–600,University of Idaho,University of Idaho,Times,2020,United States,"9,694",17,8%,48%,52%,35.3–38.7,33.3,21.1,53.4,36.2,45.9
501,501–600,Louisiana State University,Louisiana State University,Times,2020,United States,"29,169",20.7,6%,52%,48%,35.3–38.7,34.5,26.3,55.3,35.4,35.5
501,501–600,Missouri University of Science and Technology,Missouri University of Science and Technology,Times,2020,United States,"8,084",22.2,14%,23%,77%,35.3–38.7,24.2,24.6,59.2,52.9,66
501,501–600,University of Nebraska Medical Center,University of Nebraska Medical Center,Times,2020,United States,"3,041",2.3,7%,68%,32%,35.3–38.7,35.8,12.1,57.5,38.1,43.5
501,501–600,New Jersey Institute of Technology,New Jersey Institute of Technology,Times,2020,United States,"9,279",15.1,17%,25%,75%,35.3–38.7,21.3,19.2,58.2,36.7,76.8
501,501–600,Northern Arizona University,Northern Arizona University,Times,2020,United States,"29,684",28.1,5%,60%,40%,35.3–38.7,20.2,14.7,82.3,35.1,31.5
501,501–600,University of Rhode Island,University of Rhode Island,Times,2020,United States,"16,569",19.3,3%,57%,43%,35.3–38.7,23.9,17.7,66,34.4,35.4
501,501–600,San Diego State University,San Diego State University,Times,2020,United States,"30,799",30.5,8%,55%,45%,35.3–38.7,23.7,24.4,62,35.1,33.9
501,501–600,SUNY Binghamton University,SUNY Binghamton University,Times,2020,United States,"17,848",23.3,14%,49%,51%,35.3–38.7,22.8,21.9,62,36.8,42.7
501,501–600,University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee,Times,2020,United States,"20,874",19.3,6%,53%,47%,35.3–38.7,21.7,22.7,66.9,36.2,33.2
601,601–800,University of Arkansas,University of Arkansas,Times,2020,United States,"24,754",19.8,5%,52%,48%,28.3–35.2,26.9,23,37,39.4,30.9
601,601–800,Auburn University,Auburn University,Times,2020,United States,"26,641",18.8,9%,51%,49%,28.3–35.2,32.7,21.1,43.3,40.2,43.8
601,601–800,Baylor University,Baylor University,Times,2020,United States,"17,078",16.2,6%,57%,43%,28.3–35.2,32.1,18.2,53.9,35.3,33.2
601,601–800,University of Central Florida,University of Central Florida,Times,2020,United States,"56,228",35.3,4%,56%,44%,28.3–35.2,26.5,28.7,49.7,42.6,32.9
601,601–800,Clemson University,Clemson University,Times,2020,United States,"21,436",17,7%,47%,53%,28.3–35.2,25,21.2,43,40.1,39.2
601,601–800,Creighton University,Creighton University,Times,2020,United States,"8,228",11.1,8%,58%,42%,28.3–35.2,42,11.6,41.5,35.7,29.8
601,601–800,Kansas State University,Kansas State University,Times,2020,United States,"21,536",14.3,9%,50%,50%,28.3–35.2,25,20.4,45.8,41.9,47.2
601,601–800,Kent State University,Kent State University,Times,2020,United States,"24,559",20.4,9%,60%,40%,28.3–35.2,23.6,19,55.6,34.8,42.6
601,601–800,Lehigh University,Lehigh University,Times,2020,United States,"6,462",10.8,17%,44%,56%,28.3–35.2,27.4,20.8,51,40.3,45.1
601,601–800,"University of Maryland, Baltimore County","University of Maryland, Baltimore County",Times,2020,United States,"11,667",18.1,8%,45%,55%,28.3–35.2,22.9,17.4,57.8,35.7,34.3
601,601–800,Montana State University,Montana State University,Times,2020,United States,"14,357",19.4,3%,46%,54%,28.3–35.2,18.6,19.4,67,48.4,28.4
601,601–800,"University of Nevada, Las Vegas","University of Nevada, Las Vegas",Times,2020,United States,"24,982",22.7,5%,57%,43%,28.3–35.2,28.7,22.6,41.3,35.1,32.2
601,601–800,New Mexico State University (Main campus),New Mexico State University (Main campus),Times,2020,United States,"12,753",16.5,8%,54%,46%,28.3–35.2,21.5,14.7,53.9,38.8,37.7
601,601–800,University of North Carolina at Greensboro,University of North Carolina at Greensboro,Times,2020,United States,"18,999",22.2,4%,66%,34%,28.3–35.2,20.9,19.3,50,35.4,21.3
601,601–800,Ohio University (Main campus),Ohio University (Main campus),Times,2020,United States,"25,013",22.3,5%,56%,44%,28.3–35.2,28.5,17.4,43.5,35.4,30.6
601,601–800,Old Dominion University,Old Dominion University,Times,2020,United States,"18,878",18.2,3%,55%,45%,28.3–35.2,22.7,19.2,51.9,34.4,30.4
601,601–800,Portland State University,Portland State University,Times,2020,United States,"20,219",18.4,9%,55%,45%,28.3–35.2,21.1,18.4,44.6,35.7,30.4
601,601–800,University of South Dakota,University of South Dakota,Times,2020,United States,"14,542",35.1,3%,61%,39%,28.3–35.2,31.2,15.6,46.8,39,25.3
601,601–800,Stevens Institute of Technology,Stevens Institute of Technology,Times,2020,United States,"5,943",16.7,38%,29%,71%,28.3–35.2,22.5,15.8,58.4,35.6,68.7
601,601–800,University of Texas at Arlington,University of Texas at Arlington,Times,2020,United States,"28,835",25.2,15%,56%,44%,28.3–35.2,21,18.3,50,39.7,46
601,601–800,Texas Tech University,Texas Tech University,Times,2020,United States,"33,015",20.6,9%,46%,54%,28.3–35.2,30.8,20.9,46.5,36.2,48.4
601,601–800,University of Toledo,University of Toledo,Times,2020,United States,"18,587",15.5,11%,51%,49%,28.3–35.2,33.7,13.9,48.7,42.8,46.2
601,601–800,Western Washington University,Western Washington University,Times,2020,United States,"13,726",17.7,1%,57%,43%,28.3–35.2,16.2,10.6,62.2,34.5,22.9
601,601–800,West Virginia University,West Virginia University,Times,2020,United States,"25,966",18.5,8%,48%,52%,28.3–35.2,27.8,17.1,59.3,34.4,40.8
601,601–800,Worcester Polytechnic Institute,Worcester Polytechnic Institute,Times,2020,United States,"5,733",12.7,22%,34%,66%,28.3–35.2,20.1,17.7,59.1,36.5,56.2
801,801–1000,Embry-Riddle Aeronautical University,Embry-Riddle Aeronautical University,Times,2020,United States,"16,340",16.8,9%,18%,82%,22.2–28.2,16.9,9.2,44.5,34.6,30.2
801,801–1000,Florida Atlantic University,Florida Atlantic University,Times,2020,United States,"23,658",18.3,10%,60%,40%,22.2–28.2,21,19.1,37.5,37.9,44.6
801,801–1000,Florida Institute of Technology,Florida Institute of Technology,Times,2020,United States,"5,344",14.1,33%,34%,66%,22.2–28.2,22.7,14.6,31.4,37.7,56.8
801,801–1000,Louisiana Tech University,Louisiana Tech University,Times,2020,United States,"11,210",22.6,4%,46%,54%,22.2–28.2,17.3,9.7,43.9,34.8,32.7
801,801–1000,Marquette University,Marquette University,Times,2020,United States,"10,472",12,4%,53%,47%,22.2–28.2,36,14.4,34.3,36.3,24.6
801,801–1000,Mississippi State University,Mississippi State University,Times,2020,United States,"26,121",19,3%,51%,49%,22.2–28.2,21.8,15.8,43.6,40.3,25.9
801,801–1000,The New School,The New School,Times,2020,United States,"10,434",9.4,35%,71%,29%,22.2–28.2,23.9,15.2,30.2,38.4,50.3
801,801–1000,Rochester Institute of Technology,Rochester Institute of Technology,Times,2020,United States,"13,996",15.7,18%,36%,64%,22.2–28.2,20,18.1,39,35.9,41.6
801,801–1000,University of Texas at El Paso,University of Texas at El Paso,Times,2020,United States,"17,089",23.2,8%,53%,47%,22.2–28.2,21,22.9,36.3,34.4,40.7
1001,1001+,"California State University, Long Beach","California State University, Long Beach",Times,2020,United States,"30,595",19.7,4%,58%,42%,10.7–22.1,23.1,10.1,27.3,35.9,37.3
1001,1001+,University of North Carolina Wilmington,University of North Carolina Wilmington,Times,2020,United States,"14,791",19.6,2%,62%,38%,10.7–22.1,15.9,7.7,23.3,35.1,26.5
1001,1001+,University of North Florida,University of North Florida,Times,2020,United States,"12,132",17.7,2%,57%,43%,10.7–22.1,24.8,10.5,25.7,34.6,24
1001,1001+,Oakland University,Oakland University,Times,2020,United States,"15,887",18.9,4%,57%,43%,10.7–22.1,25.5,12.7,24.5,35.3,28.9
1001,1001+,Texas State University,Texas State University,Times,2020,United States,"31,893",19.1,1%,58%,42%,10.7–22.1,17.4,14.3,27.3,36.4,30.4
