,Rank_Times,RankO,Master_col,Name_Times,Ranking_Agency_Times,Year,Region_Times,No..of.FTE.Students,No..of.students.per.staff,International.Students,Female_Ratio,Male_Ratio,Overall_Times,Teaching,Research,Citations,Industry.Income,International.Outlook,Name_QS,Ranking_Agency_QS,Region_QS,Rank_QS,Classification_Size,Classification_Focus,Classification_Res,Classification_Age,Academic_Reputation_Score,Academic_Reputation_rank,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Employer_Reputation_rank,Faculty_Student_Score,Faculty_Student_Rank,Faculty_Student_rank,Citations_per_Faculty_Score,Citations_per_Faculty_rank,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_rank,International_Faculty_Rank,International_Students_Score,International_Students_rank,International_Students_Rank,Overall_QS,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
1504,NA,NA,University of the Incarnate Word,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,263,USNews,University of the Incarnate Word ,TX,private,44,44,2,287,75%,49%,58%,9,53%,41,97,62%,2%,12,12 to 1,337,950,1140,18%,97%,257,4%
1505,NA,NA,University of West Georgia,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299-391,USNews,University of West Georgia,,public,NA,,2.2,NA,71%,46%,44%,NA,41%,41,NA,43%,7%,NA,,NA,900,1040,,78%,,1%
1506,NA,NA,Valdosta State University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299-391,USNews,Valdosta State University ,GA,public,NA,,2.2,NA,69%,50%,40%,NA,35%,113,NA,55%,3%,NA,,NA,930,1100,,78%,,2%
1507,NA,NA,Valparaiso University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,172,USNews,Valparaiso University ,IN,private,53,53,2.7,152,83%,68%,65%,-3,55%,169,128,62%,6%,11,11 to 1,148,1070,1280,36%,87%,185,11%
1508,NA,NA,Villanova University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,49,USNews,Villanova University ,PA,private,70,70,3.4,28,96%,87%,92%,5,87%,312,97,43%,3%,11,11 to 1,37,1320,1460,72%,31%,81,24%
1509,NA,NA,Washburn University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299-391,USNews,Washburn University ,KS,public,NA,,2.2,NA,69%,55%,51%,NA,38%,288,NA,56%,3%,NA,,NA,18,24,15%,93%,,8%
1510,NA,NA,Western New England University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,213,USNews,Western New England University ,MA,private,48,48,2.1,214,78%,63%,64%,1,58%,113,62,57%,0.40%,12,12 to 1,207,1070,1270,16%,89%,205,4%
1511,NA,NA,Wichita State University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299-391,USNews,Wichita State University ,KS,public,NA,,2.5,NA,73%,60%,48%,NA,38%,265,NA,46%,8%,NA,,NA,20,27,23%,55%,,6%
1512,NA,NA,Widener University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,213,USNews,Widener University ,PA,private,48,48,2.3,204,80%,60%,65%,5,56%,249,75,64%,2%,13,13 to 1,273,1035,1210,,75%,234,3%
1513,NA,NA,Wilkes University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,213,USNews,Wilkes University ,PA,private,48,48,1.9,225,77%,59%,64%,5,57%,82,62,66%,4%,13,13 to 1,238,1040,1230,18%,92%,205,13%
1514,NA,NA,William Carey University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299-391,USNews,William Carey University ,MS,private,NA,,1.8,NA,80%,49%,51%,NA,48%,179,NA,79%,1%,NA,,NA,20,28,27%,55%,,3%
1515,NA,NA,William Woods University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299-391,USNews,William Woods University ,MO,private,NA,,1.9,NA,73%,60%,59%,NA,,343,NA,,,NA,,NA,20,26,,64%,,
1516,NA,NA,Wilmington University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299-391,USNews,Wilmington University ,DE,private,NA,,2.2,NA,58%,47%,23%,NA,12%,390,NA,96%,0%,NA,,NA,,NA,,99%,,
1517,NA,NA,Wingate University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299-391,USNews,Wingate University ,NC,private,NA,,2.1,NA,68%,58%,49%,NA,43%,95,NA,39%,0.40%,NA,,NA,930,1140,11%,88%,,8%
1518,NA,NA,Wright State University,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299-391,USNews,Wright State University ,OH,public,NA,,2.4,NA,64%,56%,43%,NA,32%,312,NA,,,NA,,NA,18,25,21%,96%,,
1519,NA,NA,Abilene Christian University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,250,USNews,Abilene Christian University,TX,private,46,46,2.4,226,78%,67%,60%,-7,39%,361,247,50%,5%,13,13 to 1,180,1050,1280,22%,,187,8%
1520,NA,NA,Adelphi University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,182,USNews,Adelphi University,NY,private,52,52,2.4,161,81%,63%,71%,8,63%,140,267,43%,0.20%,11,11 to 1,279,1080,1310,22%,,167,4%
1521,NA,NA,Alabama State University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Alabama State University,AL,public,NA,Bottom 25%,2.2,427,62%,36%,28%,-8,26%,250,77,63%,0.30%,13,13 to 1,405,15,20,,,77,3%
1522,NA,NA,Alliant International University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Alliant International University,CA,proprietary,NA,Bottom 25%,1.4,435,67%,51%,20%,-31,,384,417,,,6,6 to 1,NA,,NA,,,141,
1523,NA,NA,Alvernia University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,317,USNews,Alvernia University,PA,private,42,42,1.9,266,73%,55%,65%,10,57%,140,267,64%,2%,13,13 to 1,373,1000,1200,,,274,5%
1524,NA,NA,American International College,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,American International College,MA,private,NA,Bottom 25%,1.8,405,68%,43%,45%,2,,69,407,29%,1%,18,18 to 1,NA,890,1100,,,367,
1525,NA,NA,Andrews University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299,USNews,Andrews University,MI,private,43,43,1.9,217,85%,66%,69%,3,55%,242,247,72%,2%,9,9 to 1,177,1050,1300,22%,,219,0.20%
1526,NA,NA,Arkansas State University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,317,USNews,Arkansas State University,AR,public,42,42,2.2,330,76%,60%,54%,-6,45%,140,182,65%,3%,14,14 to 1,195,20,26,27%,,406,8%
1527,NA,NA,Augusta University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Augusta University,GA,public,NA,Bottom 25%,2.2,393,72%,59%,50%,-9,44%,140,374,,,17,17 to 1,361,1080,1300,,,65,3%
1528,NA,NA,Aurora University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Aurora University,IL,private,NA,Bottom 25%,1.9,309,75%,48%,55%,7,,75,426,,,20,20 to 1,388,980,1140,,,399,
1529,NA,NA,Azusa Pacific University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,263,USNews,Azusa Pacific University,CA,private,45,45,2.2,210,79%,64%,68%,4,81%,197,198,65%,1%,12,12 to 1,233,976,1256,,,187,3%
1530,NA,NA,Baker University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,285,USNews,Baker University,KS,private,44,44,1.9,256,75%,61%,62%,1,63%,123,113,74%,0.30%,13,13 to 1,284,18,23,21%,,298,7%
1531,NA,NA,Ball State University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,212,USNews,Ball State University,IN,public,49,49,2.7,217,77%,61%,68%,7,57%,168,314,41%,9%,14,14 to 1,279,1010,1210,,,323,9%
1532,NA,NA,Barry University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Barry University,FL,private,NA,Bottom 25%,2,423,63%,42%,41%,-1,39%,56,136,71%,0%,15,15 to 1,393,890,1082,,,298,
1533,NA,NA,Belhaven University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Belhaven University,MS,private,NA,Bottom 25%,1.9,374,67%,52%,54%,2,52%,23,146,77%,1%,10,10 to 1,344,19,24,,,412,3%
1534,NA,NA,Bellarmine University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,234,USNews,Bellarmine University,KY,private,47,47,2.2,210,80%,65%,65%,NA,50%,313,146,54%,1%,12,12 to 1,195,21,27,,,274,8%
1535,NA,NA,Belmont University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,182,USNews,Belmont University,TN,private,52,52,2.6,153,83%,77%,68%,-9,56%,412,91,49%,0%,14,14 to 1,107,24,30,30%,,298,8%
1536,NA,NA,Bethel University (MN),NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,212,USNews,Bethel University (MN),MN,private,49,49,2.1,124,85%,71%,74%,3,63%,228,286,62%,1%,11,11 to 1,152,20,28,31%,,286,6%
1537,NA,NA,Biola University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,USNews,Biola University,CA,private,51,51,2.2,144,84%,69%,70%,1,63%,140,231,56%,5%,13,13 to 1,152,1103,1348,30%,,198,6%
1538,NA,NA,Boise State University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Boise State University,ID,public,NA,Bottom 25%,2.7,330,78%,62%,53%,-9,44%,282,385,38%,10%,20,20 to 1,311,980,1200,14%,,380,5%
1539,NA,NA,Bradley University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,166,USNews,Bradley University,IL,private,54,54,2.5,119,85%,66%,75%,9,64%,296,113,59%,2%,12,12 to 1,149,1060,1280,29%,,248,7%
1540,NA,NA,Brenau University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Brenau University,GA,private,NA,Bottom 25%,1.8,410,52%,47%,52%,5,42%,105,56,85%,0%,9,9 to 1,357,1000,1130,12%,,226,3%
1541,NA,NA,Briar Cliff University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Briar Cliff University,IA,private,NA,Bottom 25%,1.9,387,65%,55%,56%,1,51%,90,136,77%,1%,10,10 to 1,305,17,24,23%,,265,7%
1542,NA,NA,Brigham Young University--Provo,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,89,USNews,Brigham Young University--Provo,UT,private,62,62,3.2,92,90%,85%,77%,-8,65%,412,91,46%,13%,21,21 to 1,58,26,32,59%,,179,8%
1543,NA,NA,"California State University, Fresno",NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,250,USNews,"California State University, Fresno",CA,public,46,46,2.6,280,82%,41%,57%,16,53%,30,417,22%,7%,23,23 to 1,388,880,1100,15%,,417,3%
1544,NA,NA,California State University--East Bay,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,California State University--East Bay,CA,public,NA,Bottom 25%,2.3,347,77%,40%,48%,8,,75,440,8%,22%,26,26 to 1,404,890,1090,,,388,
1545,NA,NA,California State University--Fullerton,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,166,USNews,California State University--Fullerton,CA,public,54,54,2.7,153,88%,53%,71%,18,68%,7,395,27%,4%,25,25 to 1,305,920,1160,20%,,429,3%
1546,NA,NA,"California State University, Long Beach",NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,137,USNews,California State University--Long Beach,CA,public,56,56,2.6,124,88%,51%,76%,25,74%,3,407,26%,8%,26,26 to 1,260,1020,1240,,,427,2%
1547,NA,NA,California State University--San Bernardino,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,USNews,California State University--San Bernardino,CA,public,51,51,2.5,266,84%,34%,57%,23,56%,13,401,31%,13%,25,25 to 1,398,830,1040,,,417,
1548,NA,NA,California State University--San Bernardino,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299,USNews,Campbell University,NC,private,43,43,2.2,316,75%,62%,56%,-6,46%,228,136,63%,4%,14,14 to 1,229,19,25,27%,,198,5%
1549,NA,NA,California State University--San Bernardino,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Capitol Technology University,MD,private,NA,Bottom 25%,1.7,381,74%,55%,48%,-7,,313,435,,,15,15 to 1,NA,,NA,,,274,
1550,NA,NA,California State University--San Bernardino,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Cardinal Stritch University,WI,private,NA,Bottom 25%,1.8,358,69%,55%,52%,-3,48%,99,146,82%,1%,8,8 to 1,311,18,21,25%,,248,1%
1551,NA,NA,Carson-Newman University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Carson-Newman University,TN,private,NA,Bottom 25%,2,336,67%,55%,56%,1,47%,105,231,66%,0%,14,14 to 1,284,19,25,,,380,7%
1552,NA,NA,Chatham University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,USNews,Chatham University,PA,private,51,51,2.2,217,78%,62%,63%,1,62%,17,182,62%,1%,10,10 to 1,190,1070,1310,28%,,167,13%
1553,NA,NA,Clark Atlanta University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Clark Atlanta University,GA,private,NA,Bottom 25%,2.3,393,69%,38%,42%,4,40%,69,328,42%,6%,18,18 to 1,403,880,1040,7%,,265,10%
1554,NA,NA,Clarke University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,285,USNews,Clarke University,IA,private,44,44,2.1,266,72%,60%,54%,-6,58%,46,165,75%,1%,8,8 to 1,378,18,23,9%,,265,9%
1555,NA,NA,Colorado Technical University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Colorado Technical University,CO,proprietary,NA,Bottom 25%,2.2,438,44%,29%,22%,-7,,353,433,,,31,31 to 1,NA,,NA,,,431,
1556,NA,NA,Concordia University -- Irvine,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,317,USNews,Concordia University -- Irvine,CA,private,42,42,2.1,246,74%,64%,68%,4,64%,178,364,59%,0.30%,15,15 to 1,251,1030,1260,17%,,358,5%
1557,NA,NA,Concordia University Wisconsin,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,317,USNews,Concordia University Wisconsin,WI,private,42,42,2,232,80%,65%,61%,-4,57%,263,231,64%,0.30%,12,12 to 1,180,20,26,32%,,323,3%
1558,NA,NA,CUNY--City College,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,151,USNews,CUNY--City College,NY,public,55,55,2.8,266,82%,48%,57%,9,56%,12,328,31%,8%,16,16 to 1,351,1050,1260,,,115,1%
1559,NA,NA,Daemen University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Daemen University,NY,private,NA,Bottom 25%,1.8,266,79%,58%,57%,-1,45%,168,146,70%,0%,12,12 to 1,195,1110,1288,28%,,334,3%
1560,NA,NA,Dallas Baptist University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,#331-#440,USNews,Dallas Baptist University,TX,private,NA,Bottom 25%,2.1,300,74%,65%,62%,-3,54%,395,267,63%,3%,14,14 to 1,305,940,1200,18%,,248,1%
1561,NA,NA,DePaul University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,137,USNews,DePaul University,IL,private,56,56,3,144,85%,65%,70%,5,63%,115,182,43%,1%,17,17 to 1,140,1080,1300,30%,,265,5%
1562,NA,NA,DeSales University,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,285,USNews,DeSales University,PA,private,44,44,1.9,178,82%,66%,69%,3,59%,361,216,54%,2%,13,13 to 1,311,1080,1260,25%,,265,7%
